season,first_name,last_name,jersey,position,games_played,points,total_goals,1pt_goals,2pt_goals,scoring_points,assists,shots,shot_pct,shots_on_goal,sog_pct,2pt_shots,2pt_shot_pct,2pt_shots_on_goal,groundballs,turnovers,caused_turnovers,faceoffs,faceoff_wins,faceoff_losses,faceoff_pct,saves,save_pct,scores_against,scores_against_average,2pt_goals_against,2pt_gaa,time_on_field,total_penalties,penalty_minutes,power_play_goals,power_play_shots,short_handed_goals,short_handed_shots,short_handed_goals_against,power_play_goals_against
2021,Andrew,Kew,42.0,A,6,13,10,10,0,10,3,23,0.4347826086956521,17,0.7391304347826086,0,0.0,0,6,3,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Holden,Garlent,70.0,D,9,2,1,1,0,1,1,2,0.5,2,1.0,1,0.0,1,19,3,9,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,5,8.5,0,0,0,0,,0
2021,Tyson,Bell,94.0,SSDM,9,6,2,2,0,2,4,5,0.4,3,0.6,0,0.0,0,21,1,4,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,6,9.0,0,0,0,0,,0
2021,Paul,Rabil,99.0,M,9,26,18,16,2,20,6,50,0.36,39,0.78,13,0.1538461538461538,11,9,14,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,2,3,0,0,,0
2021,CJ,Costabile,9.0,LSM,9,10,4,0,4,8,2,10,0.4,8,0.8,10,0.4,8,23,10,8,10,4,6,0.4,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Troy,Reh,10.0,LSM,9,1,1,1,0,1,0,10,0.1,6,0.6,8,0.0,4,27,3,10,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,6.0,0,0,0,0,,0
2021,Dalton,Crossan,11.0,M,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Wes,Berg,14.0,A,5,7,5,5,0,5,2,11,0.4545454545454545,7,0.6363636363636364,0,0.0,0,4,5,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,1,0,0,,0
2021,Mark,Glicini,16.0,SSDM,9,0,0,0,0,0,0,2,0.0,2,1.0,1,0.0,1,21,5,3,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2021,Johnny,Surdick,18.0,D,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,21,3,13,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
